ts,cheval,cavalier,discipline,epreuve,hauteur,classement_estime,proba,verdict,is_cold_start,model_name,snapshot,id
2026-05-25T05:55:04,CHEYENNE DU FOSSARD,Voir sa fiche,Equifun 30 cm,Club A Moustique Circuit Dpt individuel,,5,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,d9c736fb58e0
2026-05-25T05:55:04,BADRU E V STAL HULZEMA,Voir sa fiche,Equifun 30 cm,Club A Moustique Circuit Dpt individuel,,6,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,3e41b8e7ce2e
2026-05-25T05:55:04,ATCHOUM,Voir sa fiche,Equifun 30 cm,Club A Moustique Circuit Dpt individuel,,7,10,cold-start,True,LightGBM,crawl-predict:c36a23a6,267020032953
2026-05-25T05:55:04,GLOBULLE,Voir sa fiche,Equifun 30 cm,Club A Poussin Circuit Dpt individuel,,1,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,45daef90f981
2026-05-25T05:55:04,CHEYENNE DU FOSSARD,Voir sa fiche,Equifun 30 cm,Club A Poussin Circuit Dpt individuel,,2,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,86032621cbe4
2026-05-25T05:55:04,ATCHOUM,Voir sa fiche,Equifun 30 cm,Club A Poussin Circuit Dpt individuel,,4,10,cold-start,True,LightGBM,crawl-predict:c36a23a6,a75339cfdbdf
2026-05-25T05:55:04,BADRU E V STAL HULZEMA,Voir sa fiche,Equifun 30 cm,Club A Poussin Circuit Dpt individuel,,3,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,e7d8d21954e5
2026-05-25T05:55:04,SPRINGBOURNE CORINTHIAN,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,1,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,345c9a3abcb2
2026-05-25T05:55:04,LUCKY DE VAUCELLES,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,2,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,3f69985e9281
2026-05-25T05:55:04,DJIN FIZ DU MORDANT,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,3,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,131c18af4a28
2026-05-25T05:55:04,GURNOS BROCHFAEL,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,4,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,935b62fb588a
2026-05-25T05:55:04,HARIBO DU MORDANT,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,5,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,0cf408f82123
2026-05-25T05:55:04,DIABLO,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,6,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,c5ce1b55a792
2026-05-25T05:55:04,BERGH'S 0810,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Circuit Dpt individuel,,1,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,be617c5ef7f9
2026-05-25T05:55:04,TOCCATA DU PONCET,Voir sa fiche,Equifun 60 cm,Club Poney Cadet Circuit Dpt individuel,,1,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,b44eab272fba
2026-05-25T05:55:04,EXTRA ROC DE LA CISSE,Voir sa fiche,Equifun 70 cm,Club Poney Elite Circuit Dpt individuel,,1,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,2306be89a8c7
2026-05-25T05:55:04,LEXUS DE ROCFEUILLE,Voir sa fiche,Equifun 70 cm,Club Poney Elite Circuit Dpt individuel,,2,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,63d453d556ab
2026-05-25T05:55:04,ITALIE DE DAUMONT,Voir sa fiche,Equifun 70 cm,Club Poney Elite Circuit Dpt individuel,,3,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,99f0c4969675
2026-05-25T05:55:04,DIARADO DE KAPS,Voir sa fiche,Equifun 70 cm,Club Poney Elite Circuit Dpt individuel,,4,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,bc197c8e9bc9
2026-05-25T05:55:04,BULLE,Voir sa fiche,Equifun 30 cm,Club A Poussin Circuit Dpt individuel,,2,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,d4b42e1be8b4
2026-05-25T05:55:04,LILOU,Voir sa fiche,Equifun 30 cm,Club A Poussin Circuit Dpt individuel,,1,57,cold-start,True,LightGBM,crawl-predict:c36a23a6,fbb988f863a8
2026-05-25T05:55:04,LUCO,Voir sa fiche,Equifun 30 cm,Club A Poussin Circuit Dpt individuel,,3,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,d89bc044547a
2026-05-25T05:55:04,LUCO,Voir sa fiche,Equifun 30 cm,Club A Poussin Circuit Dpt individuel,,4,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,f82fc248d477
2026-05-25T05:55:04,BULLE,Voir sa fiche,Equifun 30 cm,Club A Poussin Circuit Dpt individuel,,5,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,18163d7da614
